product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm
toys,491.0,19.0,12.0,16.0
watches_gifts,440.0,18.0,14.0,17.0
costruction_tools_garden,2200.0,16.0,16.0,16.0
toys,1450.0,68.0,3.0,48.0
toys,300.0,17.0,4.0,12.0
toys,2800.0,16.0,31.0,39.0
bed_bath_table,3975.0,46.0,12.0,43.0
toys,250.0,45.0,15.0,35.0
toys,1200.0,30.0,23.0,30.0
toys,1500.0,30.0,5.0,20.0
toys,4338.0,17.0,12.0,14.0
toys,350.0,21.0,22.0,22.0
toys,500.0,16.0,12.0,22.0
toys,300.0,38.0,19.0,22.0
toys,200.0,16.0,7.0,11.0
toys,4000.0,45.0,20.0,100.0
auto,350.0,20.0,15.0,15.0
toys,425.0,17.0,11.0,14.0
health_beauty,4200.0,30.0,10.0,20.0
toys,200.0,20.0,5.0,15.0
toys,335.0,17.0,11.0,16.0
toys,300.0,27.0,25.0,27.0
toys,2150.0,30.0,19.0,25.0
cool_stuff,1600.0,42.0,25.0,15.0
toys,175.0,17.0,6.0,13.0
garden_tools,1650.0,30.0,22.0,30.0
toys,650.0,36.0,15.0,25.0
toys,1500.0,20.0,30.0,30.0
toys,950.0,100.0,5.0,20.0
toys,1700.0,28.0,14.0,22.0
toys,1500.0,40.0,30.0,30.0
toys,1300.0,30.0,30.0,30.0
toys,2650.0,16.0,16.0,62.0
toys,1750.0,37.0,22.0,40.0
toys,350.0,19.0,19.0,13.0
toys,107.0,7.0,7.0,10.0
toys,250.0,41.0,2.0,29.0
toys,100.0,11.0,11.0,11.0
toys,200.0,19.0,9.0,12.0
toys,400.0,16.0,16.0,22.0
toys,1100.0,22.0,21.0,16.0
toys,1500.0,18.0,35.0,48.0
toys,900.0,28.0,29.0,12.0
toys,5950.0,20.0,20.0,20.0
furniture_decor,700.0,35.0,4.0,30.0
toys,1256.0,28.0,26.0,30.0
toys,70.0,19.0,4.0,15.0
fashion_shoes,400.0,29.0,7.0,16.0
toys,5775.0,104.0,35.0,30.0
toys,1200.0,30.0,4.0,20.0
toys,30000.0,75.0,58.0,65.0
toys,127.0,18.0,10.0,14.0
toys,125.0,19.0,5.0,11.0
sports_leisure,1182.0,21.0,16.0,17.0
toys,5950.0,20.0,30.0,80.0
toys,200.0,16.0,7.0,11.0
toys,14900.0,40.0,60.0,40.0
auto,75.0,17.0,8.0,13.0
sports_leisure,1017.0,42.0,21.0,27.0
toys,100.0,19.0,2.0,19.0
baby,550.0,50.0,10.0,50.0
toys,378.0,21.0,14.0,14.0
toys,800.0,30.0,10.0,30.0
toys,300.0,30.0,15.0,15.0
furniture_decor,8950.0,30.0,35.0,30.0
toys,200.0,16.0,10.0,16.0
toys,200.0,18.0,3.0,20.0
bed_bath_table,1600.0,49.0,7.0,40.0
bed_bath_table,5350.0,40.0,16.0,50.0
housewares,30000.0,60.0,60.0,60.0
toys,2150.0,42.0,10.0,22.0
construction_tools_construction,450.0,16.0,14.0,11.0
toys,600.0,37.0,12.0,31.0
toys,400.0,20.0,2.0,15.0
toys,567.0,26.0,12.0,26.0
toys,500.0,23.0,45.0,32.0
toys,150.0,16.0,4.0,13.0
toys,2200.0,40.0,15.0,30.0
toys,1825.0,43.0,28.0,28.0
toys,900.0,30.0,8.0,23.0
toys,6650.0,23.0,19.0,29.0
toys,250.0,22.0,12.0,16.0
toys,500.0,17.0,17.0,16.0
toys,200.0,20.0,2.0,15.0
toys,400.0,20.0,5.0,21.0
toys,1383.0,50.0,10.0,40.0
toys,4105.0,67.0,10.0,67.0
toys,14400.0,30.0,50.0,32.0
furniture_decor,2850.0,40.0,5.0,44.0
toys,1590.0,38.0,20.0,23.0
toys,10700.0,100.0,10.0,30.0
electronics,175.0,22.0,11.0,16.0
toys,2220.0,20.0,30.0,30.0
toys,200.0,22.0,3.0,15.0
toys,150.0,17.0,8.0,12.0
health_beauty,100.0,20.0,15.0,15.0
toys,200.0,16.0,6.0,20.0
toys,329.0,20.0,16.0,18.0
toys,50.0,16.0,5.0,11.0
toys,150.0,20.0,10.0,20.0
furniture_decor,1150.0,35.0,23.0,35.0
toys,200.0,16.0,2.0,11.0
toys,400.0,16.0,24.0,16.0
bed_bath_table,550.0,18.0,10.0,18.0
toys,1000.0,53.0,8.0,18.0
toys,450.0,16.0,7.0,11.0
toys,588.0,19.0,14.0,17.0
auto,2450.0,30.0,30.0,30.0
toys,150.0,16.0,5.0,20.0
toys,10700.0,40.0,40.0,40.0
toys,800.0,100.0,5.0,20.0
toys,750.0,32.0,9.0,24.0
home_appliances,500.0,30.0,12.0,17.0
toys,200.0,41.0,2.0,29.0
toys,1050.0,36.0,24.0,22.0
toys,200.0,16.0,13.0,14.0
toys,150.0,18.0,2.0,16.0
toys,200.0,25.0,7.0,16.0
audio,250.0,16.0,5.0,11.0
toys,1067.0,32.0,13.0,22.0
toys,1400.0,16.0,7.0,12.0
toys,476.0,21.0,15.0,17.0
toys,850.0,20.0,44.0,39.0
toys,700.0,45.0,8.0,25.0
toys,200.0,17.0,11.0,15.0
toys,1500.0,40.0,25.0,20.0
toys,200.0,16.0,8.0,11.0
toys,1050.0,100.0,5.0,11.0
toys,7650.0,44.0,15.0,34.0
toys,50.0,16.0,16.0,12.0
toys,180.0,17.0,10.0,13.0
toys,2200.0,48.0,25.0,25.0
housewares,9950.0,31.0,61.0,31.0
toys,50.0,42.0,9.0,25.0
toys,1867.0,36.0,6.0,36.0
toys,300.0,40.0,10.0,25.0
toys,1700.0,65.0,6.0,50.0
toys,950.0,105.0,10.0,11.0
toys,250.0,16.0,7.0,11.0
toys,523.0,20.0,16.0,17.0
toys,950.0,20.0,35.0,20.0
toys,4650.0,37.0,20.0,34.0
toys,5400.0,32.0,25.0,14.0
auto,450.0,20.0,15.0,15.0
toys,1000.0,70.0,10.0,15.0
consoles_games,900.0,22.0,7.0,18.0
toys,6350.0,38.0,30.0,28.0
toys,150.0,16.0,12.0,15.0
construction_tools_construction,450.0,16.0,10.0,11.0
toys,750.0,34.0,18.0,44.0
toys,214.0,18.0,15.0,15.0
toys,700.0,32.0,15.0,21.0
consoles_games,100.0,20.0,3.0,15.0
watches_gifts,375.0,21.0,15.0,16.0
toys,350.0,21.0,12.0,14.0
toys,3300.0,60.0,18.0,50.0
toys,441.0,24.0,20.0,17.0
toys,200.0,51.0,15.0,15.0
construction_tools_construction,1700.0,16.0,11.0,11.0
toys,650.0,24.0,10.0,20.0
toys,450.0,20.0,10.0,15.0
watches_gifts,200.0,16.0,2.0,11.0
toys,6450.0,35.0,25.0,27.0
toys,1200.0,32.0,28.0,13.0
sports_leisure,250.0,16.0,6.0,20.0
furniture_decor,11850.0,74.0,8.0,74.0
toys,1275.0,27.0,26.0,27.0
sports_leisure,150.0,16.0,16.0,11.0
toys,150.0,16.0,4.0,13.0
toys,240.0,16.0,2.0,11.0
toys,250.0,40.0,4.0,30.0
toys,237.0,16.0,16.0,16.0
toys,1050.0,22.0,9.0,12.0
bed_bath_table,400.0,19.0,13.0,15.0
toys,2200.0,30.0,30.0,40.0
toys,363.0,16.0,4.0,11.0
toys,300.0,20.0,6.0,26.0
toys,1700.0,25.0,25.0,25.0
toys,4000.0,30.0,35.0,30.0
toys,550.0,40.0,7.0,50.0
toys,575.0,23.0,17.0,20.0
toys,2150.0,45.0,15.0,35.0
toys,1050.0,38.0,10.0,38.0
toys,250.0,40.0,4.0,30.0
toys,1100.0,24.0,4.0,24.0
stationery,250.0,20.0,20.0,20.0
toys,1750.0,37.0,22.0,40.0
toys,1000.0,53.0,8.0,18.0
toys,5650.0,40.0,20.0,40.0
toys,100.0,80.0,10.0,60.0
garden_tools,9100.0,42.0,13.0,39.0
toys,2800.0,50.0,10.0,40.0
toys,250.0,25.0,7.0,14.0
toys,850.0,38.0,10.0,38.0
toys,175.0,20.0,20.0,20.0
furniture_living_room,2700.0,47.0,6.0,47.0
toys,800.0,23.0,3.0,16.0
toys,2700.0,87.0,10.0,30.0
toys,300.0,40.0,4.0,30.0
sports_leisure,300.0,19.0,2.0,12.0
toys,153.0,14.0,14.0,12.0
toys,550.0,27.0,10.0,15.0
toys,2400.0,40.0,20.0,20.0
toys,150.0,16.0,2.0,11.0
bed_bath_table,400.0,20.0,2.0,15.0
toys,500.0,19.0,11.0,20.0
watches_gifts,350.0,16.0,14.0,11.0
toys,167.0,17.0,16.0,16.0
toys,442.0,20.0,19.0,17.0
toys,450.0,16.0,21.0,20.0
health_beauty,700.0,25.0,12.0,19.0
toys,400.0,29.0,36.0,15.0
bed_bath_table,400.0,20.0,20.0,20.0
bed_bath_table,250.0,16.0,15.0,15.0
computers_accessories,200.0,20.0,20.0,20.0
toys,300.0,20.0,4.0,18.0
garden_tools,150.0,16.0,2.0,11.0
housewares,2350.0,25.0,30.0,25.0
toys,1700.0,20.0,24.0,30.0
toys,533.0,22.0,11.0,20.0
auto,500.0,16.0,5.0,11.0
perfumery,250.0,20.0,8.0,21.0
computers_accessories,800.0,35.0,12.0,15.0
toys,2450.0,41.0,8.0,36.0
toys,2100.0,35.0,9.0,25.0
toys,4850.0,61.0,15.0,58.0
toys,350.0,16.0,2.0,20.0
toys,1350.0,30.0,5.0,20.0
toys,1100.0,37.0,6.0,27.0
auto,50.0,17.0,10.0,15.0
toys,150.0,19.0,10.0,15.0
toys,600.0,16.0,14.0,14.0
toys,50.0,17.0,3.0,12.0
kitchen_dining_laundry_garden_furniture,975.0,41.0,12.0,12.0
toys,533.0,52.0,6.0,40.0
toys,17400.0,63.0,58.0,26.0
toys,275.0,23.0,11.0,16.0
toys,600.0,25.0,10.0,25.0
home_appliances,100.0,18.0,8.0,13.0
toys,175.0,23.0,21.0,21.0
toys,2700.0,60.0,15.0,15.0
toys,150.0,22.0,3.0,15.0
toys,1500.0,45.0,15.0,35.0
toys,363.0,18.0,13.0,13.0
toys,800.0,42.0,8.0,26.0
housewares,800.0,30.0,40.0,30.0
toys,850.0,20.0,9.0,14.0
furniture_decor,650.0,20.0,35.0,20.0
consoles_games,700.0,26.0,12.0,18.0
bed_bath_table,2650.0,46.0,8.0,38.0
toys,650.0,28.0,9.0,14.0
toys,4100.0,40.0,37.0,29.0
toys,1100.0,20.0,20.0,20.0
toys,180.0,17.0,10.0,13.0
bed_bath_table,1400.0,40.0,10.0,30.0
cool_stuff,1650.0,33.0,44.0,19.0
toys,1092.0,27.0,27.0,23.0
toys,5450.0,23.0,24.0,23.0
fashion_bags_accessories,300.0,20.0,10.0,20.0
toys,250.0,22.0,5.0,15.0
furniture_decor,5700.0,40.0,30.0,40.0
housewares,700.0,30.0,30.0,30.0
toys,2050.0,90.0,8.0,15.0
toys,100.0,21.0,9.0,13.0
toys,950.0,16.0,30.0,27.0
market_place,175.0,17.0,10.0,19.0
toys,10600.0,78.0,4.0,47.0
health_beauty,100.0,20.0,15.0,15.0
toys,350.0,16.0,25.0,11.0
toys,250.0,40.0,4.0,30.0
toys,150.0,18.0,20.0,11.0
toys,300.0,104.0,4.0,20.0
health_beauty,1600.0,50.0,16.0,40.0
toys,325.0,21.0,8.0,17.0
toys,775.0,34.0,9.0,33.0
toys,1850.0,16.0,10.0,16.0
toys,1400.0,43.0,5.0,30.0
toys,550.0,16.0,7.0,11.0
housewares,1800.0,30.0,30.0,30.0
toys,515.0,39.0,11.0,25.0
toys,450.0,17.0,3.0,11.0
toys,1200.0,42.0,25.0,15.0
watches_gifts,233.0,17.0,11.0,15.0
toys,950.0,35.0,6.0,45.0
home_appliances,4550.0,27.0,13.0,17.0
toys,180.0,17.0,10.0,13.0
toys,2050.0,60.0,10.0,40.0
